Customer ID,Recency,Frequency,Monetary,Cluster,Segment
16797.0,392,5,1802.02,1,Lost
16823.0,226,7,2243.09,0,Regular
16883.0,186,19,2246.06,0,Regular
16887.0,34,3,658.17,0,Regular
16918.0,48,16,3206.54,0,Regular
16987.0,2,11,2521.4,0,Regular
17017.0,2,29,12576.99,0,Regular
17019.0,10,11,3602.29,0,Regular
17035.0,245,4,613.59,0,Regular
17056.0,737,1,128.60000000000002,1,Lost
17063.0,20,13,3638.53,0,Regular
17069.0,27,14,5517.2300000000005,0,Regular
17076.0,35,6,1242.75,0,Regular
17087.0,737,1,221.53,1,Lost
17155.0,16,7,892.46,0,Regular
17160.0,30,17,10209.16,0,Regular
17189.0,105,5,953.63,0,Regular
17191.0,27,15,4310.34,0,Regular
17193.0,34,9,2310.04,0,Regular
17209.0,648,3,595.7,1,Lost
17238.0,2,32,7331.67,0,Regular
17243.0,0,69,20203.58,0,Regular
17246.0,545,2,38.92,1,Lost
17271.0,735,1,204.3,1,Lost
17287.0,25,21,3826.86,0,Regular
17293.0,7,17,3750.63,0,Regular
17314.0,24,17,4904.43,0,Regular
17322.0,375,5,922.59,1,Lost
17329.0,13,5,998.53,0,Regular
17343.0,354,6,1259.94,1,Lost
17345.0,14,10,1586.63,0,Regular
17372.0,40,28,4347.31,0,Regular
17377.0,23,78,17644.27,0,Regular
17389.0,0,61,57215.33,0,Regular
17411.0,11,5,1425.38,0,Regular
17412.0,2,16,4220.22,0,Regular
17414.0,43,6,2249.52,0,Regular
17428.0,0,45,31466.760000000002,0,Regular
17432.0,17,9,1728.99,0,Regular
17465.0,425,7,2542.79,1,Lost
17476.0,395,2,489.86,1,Lost
17511.0,2,60,172132.87,3,Loyal
17519.0,16,15,4774.17,0,Regular
17576.0,7,41,8711.95,0,Regular
17581.0,0,43,17951.17,0,Regular
17592.0,738,1,148.3,1,Lost
17606.0,736,1,87.30000000000001,1,Lost
17611.0,6,28,8337.53,0,Regular
17660.0,140,2,342.22,0,Regular
17679.0,52,7,3577.61,0,Regular
17700.0,16,14,6679.97,0,Regular
17716.0,22,24,15956.970000000001,0,Regular
17742.0,112,11,2098.48,0,Regular
17764.0,50,5,1513.57,0,Regular
17768.0,7,7,3292.73,0,Regular
17804.0,375,3,383.78000000000003,1,Lost
17809.0,15,20,10085.89,0,Regular
17818.0,737,1,124.78,1,Lost
17841.0,1,211,68545.25,3,Loyal
17851.0,421,6,1552.35,1,Lost
17853.0,406,3,1596.29,1,Lost
17865.0,30,46,26312.190000000002,0,Regular
17867.0,29,15,1582.0500000000002,0,Regular
17909.0,736,1,110.05,1,Lost
17913.0,58,14,3429.29,0,Regular
17940.0,48,16,30306.79,0,Regular
17949.0,0,118,117314.08,3,Loyal
17961.0,20,100,2866.74,3,Loyal
17984.0,144,5,1152.19,0,Regular
17998.0,379,3,639.24,1,Lost
18001.0,11,6,924.14,0,Regular
18037.0,153,15,167.42,0,Regular
18061.0,21,28,6083.81,0,Regular
18087.0,97,17,14761.52,0,Regular
18102.0,0,145,580987.04,2,VIP
18108.0,253,3,848.8100000000001,0,Regular
18168.0,175,16,3435.5,0,Regular
18229.0,11,28,10150.51,0,Regular
